Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Echobooom Management & Entrepreneurial Solutions,3.8,543,Marketing & Advertising,Kolkata +21 other locations,"Skill Development / Learning, Company Culture, Promotions / Appraisal",None
Casagrand,3.8,542,Real Estate,Chennai +12 other locations,Job Security,Promotions / Appraisal
Thryve Digital,4.0,542,IT Services & Consulting,Chennai +7 other locations,"Work Life Balance, Job Security, Company Culture",None
Tata Power Delhi Distribution,3.9,541,Power,New Delhi +33 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Ask Automotive,4.1,541,Auto Components,Gurgaon / Gurugram +25 other locations,"Job Security, Work Life Balance, Salary & Benefits",None
Aurigo,4.8,540,Software Product,Bangalore / Bengaluru +4 other locations,"Company Culture, Salary & Benefits, Skill Development / Learning",None
Allied Digital Services,3.4,539,IT Services & Consulting,Mumbai +50 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Greenply,4.0,540,Furniture & Furnishing,Kolkata +75 other locations,Salary & Benefits,None
Wuerth,3.7,540,Industrial Machinery,Pune +58 other locations,None,"Promotions / Appraisal, Work Satisfaction"
MPS Limited,3.7,539,Content Development,Dehradun +21 other locations,None,"Promotions / Appraisal, Salary & Benefits"
BankBazaar,3.4,538,FinTech,Chennai +13 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Encore Capital Group,4.2,538,IT Services & Consulting,Gurgaon / Gurugram +2 other locations,"Company Culture, Work Life Balance, Job Security",None
Motilal Oswal Home Finance,4.3,539,Financial Services,Mumbai +108 other locations,"Skill Development / Learning, Company Culture, Salary & Benefits",None
Diebold Nixdorf,3.9,537,IT Services & Consulting,Hyderabad / Secunderabad +42 other locations,Work Life Balance,Promotions / Appraisal
Moglix,3.5,539,Internet,Noida +35 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
BASF,4.5,536,Chemicals,Mumbai +78 other locations,"Company Culture, Work Life Balance, Job Security",None
GAMMON INDIA,3.9,537,Engineering & Construction,Mumbai +67 other locations,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
Axtria,3.0,535,Software Product,Gurgaon / Gurugram +8 other locations,None,"Work Life Balance, Work Satisfaction, Company Culture"
Victora Auto Private Limited,3.9,535,Auto Components,Faridabad +25 other locations,None,Promotions / Appraisal
NRB Bearings,4.2,535,Auto Components,Aurangabad +19 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
Y-Axis Overseas Careers,3.4,534,Legal,Hyderabad / Secunderabad +16 other locations,None,"Promotions / Appraisal, Company Culture, Job Security"
Qatar Airways,4.0,535,Aviation,Ahmedabad +24 other locations,"Salary & Benefits, Skill Development / Learning",None
Lenovo,4.3,534,Consumer Electronics & Appliances,Bangalore / Bengaluru +75 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Marlabs,3.3,533,IT Services & Consulting,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Wipro PARI,3.4,534,Industrial Automation,Pune +18 other locations,None,"Work Life Balance, Company Culture, Promotions / Appraisal"
Osource Global,3.9,533,BPO,Mumbai +22 other locations,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
ZaranTech,1.5,532,IT Services & Consulting,Bangalore / Bengaluru +17 other locations,None,"Skill Development / Learning, Company Culture, Job Security"
Telenor,4.3,532,Telecom,Hyderabad / Secunderabad +114 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Boeing,3.9,533,Aviation,Bangalore / Bengaluru +11 other locations,Work Life Balance,Promotions / Appraisal
Medlife,3.7,532,Internet,Bangalore / Bengaluru +28 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
Quatrro,3.5,532,BPO,Gurgaon / Gurugram +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Mount Litera Zee School,4.0,532,Education & Training,Bangalore / Bengaluru +119 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Jain Irrigation Systems,4.0,531,Agriculture,Jalgaon +85 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Holiday Inn,3.9,532,Hospitality,New Delhi +53 other locations,"Job Security, Skill Development / Learning",None
Goodyear,3.8,531,Auto Components,Aurangabad +58 other locations,None,"Promotions / Appraisal, Work Satisfaction"
Neuland Laboratories,4.1,532,Pharma,Hyderabad / Secunderabad +7 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Medikabazaar,4.6,531,Medical Equipment,Mumbai +33 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
Bristlecone,3.7,531,IT Services & Consulting,Bangalore / Bengaluru +12 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Royal Caribbean International,4.5,530,Sports & Recreation,Mumbai +19 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",None
Times Group,3.8,530,Printing & Publishing,Mumbai +46 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Orient Cement,4.4,527,Building Material,Hyderabad / Secunderabad +61 other locations,"Company Culture, Job Security, Work Life Balance",None
Writer Corporation,3.7,529,Facility Management Services,Mumbai +77 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Care Hospital,4.2,529,Healthcare,Hyderabad / Secunderabad +36 other locations,"Skill Development / Learning, Work Life Balance, Job Security",None
Lionbridge Technologies,3.7,528,Content Development,Mumbai +13 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Bunge India,4.0,529,Food Processing,Mohali +59 other locations,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
CtrlS,3.9,528,IT Services & Consulting,Hyderabad / Secunderabad +16 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Housing.com,3.7,527,Internet,Gurgaon / Gurugram +36 other locations,"Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal"
Wakefit,4.0,527,Furniture & Furnishing,Bangalore / Bengaluru +40 other locations,"Skill Development / Learning, Salary & Benefits",None
Jai Balaji Group,3.6,527,Iron & Steel,Durgapur +29 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
TTK Prestige,3.9,527,Consumer Electronics & Appliances,Bangalore / Bengaluru +76 other locations,"Job Security, Company Culture",Promotions / Appraisal
Sl Lumax,3.4,526,Auto Components,Chennai +14 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Yatra,3.4,525,Travel & Tourism,Gurgaon / Gurugram +19 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Turbo Energy,4.2,525,Auto Components,Chennai +21 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Aisin Automotive Haryana,4.2,525,Auto Components,Rohtak +25 other locations,"Company Culture, Job Security, Work Life Balance",None
OutworX,4.1,527,IT Services & Consulting,Pune +35 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Omaxe,4.2,525,Real Estate,New Delhi +22 other locations,"Salary & Benefits, Work Life Balance, Work Satisfaction",None
NecLife,3.6,523,Pharma,Chandigarh +22 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JM Financial,3.8,524,Financial Services,Mumbai +57 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Ramky Infrastructure,4.3,523,Engineering & Construction,Hyderabad / Secunderabad +43 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Shriram Housing Finance,3.9,523,Financial Services,Mumbai +130 other locations,None,Promotions / Appraisal
EPL Limited,4.0,522,Packaging,Mumbai +32 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Bharat Serums and Vaccines,4.0,522,Pharma,Mumbai +56 other locations,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Apple,4.3,522,Consumer Electronics & Appliances,Bangalore / Bengaluru +93 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
Turtlemint,3.6,522,Internet,Mumbai +94 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Grab A Grub Services,3.9,522,Logistics,Mumbai +105 other locations,None,"Job Security, Promotions / Appraisal"
Fiat India Automobiles,3.6,522,Automobile,Pune +20 other locations,None,"Promotions / Appraisal, Work Life Balance, Company Culture"
ChannelPlay,3.9,521,Marketing & Advertising,Gurgaon / Gurugram +70 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Quislex Legal Services,3.9,521,Legal,Hyderabad / Secunderabad +8 other locations,"Company Culture, Job Security, Skill Development / Learning",None
CTS Consulting & Technical Support,3.8,521,Engineering & Construction,Chennai +30 other locations,None,Promotions / Appraisal
Licious,3.7,521,Internet,Bangalore / Bengaluru +34 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
RITES,3.9,520,Engineering & Construction,Gurgaon / Gurugram +64 other locations,Work Life Balance,Promotions / Appraisal
Mitsubishi Electric,4.3,521,Electronics Manufacturing,Pune +43 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Affinity Express,3.1,520,Marketing & Advertising,Pune +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Dhani Healthcare,3.6,520,FinTech,Gurgaon / Gurugram +79 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
V-Trans,4.1,522,Logistics,Mumbai +73 other locations,"Job Security, Work Life Balance, Company Culture",None
Vaaman Engineers,3.9,519,Engineering & Construction,Jharsuguda +34 other locations,None,Promotions / Appraisal
Nvidia,3.8,518,Hardware & Networking,Pune +10 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Venus Remedies,4.4,518,Pharma,Baddi +35 other locations,"Company Culture, Work Satisfaction, Job Security",None
Saint Gobain Glass,4.1,518,Building Material,Chennai +50 other locations,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Bharti Infratel,4.4,517,Telecom,Gurgaon / Gurugram +66 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
Gartner,4.2,517,Management Consulting,Gurgaon / Gurugram +12 other locations,"Work Life Balance, Company Culture, Job Security",None
AVEVA,4.3,517,Software Product,Hyderabad / Secunderabad +12 other locations,"Work Life Balance, Company Culture, Job Security",None
Emids Technologies Limited,3.7,517,IT Services & Consulting,Bangalore / Bengaluru +7 other locations,None,"Promotions / Appraisal, Job Security"
Netmeds.com,3.6,516,Internet,Chennai +110 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Doosan Power Systems,4.2,518,Power,Gurgaon / Gurugram +27 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",Promotions / Appraisal
GKN,3.8,516,Industrial Machinery,Pune +28 other locations,Work Life Balance,Promotions / Appraisal
HRH Next Services,3.1,516,BPO,Hyderabad / Secunderabad +15 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Medtronic,4.1,516,Pharma,Hyderabad / Secunderabad +42 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
RenewBuy,3.4,515,Internet,Gurgaon / Gurugram +85 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Nihilent,3.3,514,IT Services & Consulting,Pune +8 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Visteon,3.7,515,Software Product,Chennai +16 other locations,None,"Work Life Balance, Promotions / Appraisal, Company Culture"
Patel Infrastructure,3.9,514,Engineering & Construction,Vadodara +49 other locations,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
Patel Engineering,4.1,513,Engineering & Construction,Mumbai +57 other locations,"Job Security, Company Culture, Work Satisfaction",None
